Rickshaw Carry                                        | Compound  | Forearms    | Other         | Strongman             | Beginner     | 9.6 | Dumbbell farmer's walk                        | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Position the frame at the starting point, and load with the appropriate weight. Standing in the center of the frame, begin by gripping the handles and driving through your heels to lift the frame. Ensure your chest and head are up and your back is straight.\n Immediately begin walking briskly with quick, controlled steps. Keep your chest up and head forward, and make sure you continue breathing. Bring the frame to the ground after you have reached the end point.\n
Single-Leg Press                                      | Isolation | Quadriceps  | Machine       | Strength              | Intermediate | 9.6 | Barbell Bulgarian split squat                 | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Load the sled to an appropriate weight. Seat yourself on the machine, planting one foot on the platform in line with your hip. Your free foot can be placed on the ground. Maintain good spinal position with your head and chest up.\n Supporting the weight, fully extend the knee and unlock the sled. This will be your starting position.\n Lower the weight by flexing the hip and knee, continuing as far as flexibility allows. Do not allow your lumbar to take the load by moving your pelvis.\n At the bottom of the motion pause briefly and then return to the starting position by extending the hip and knee.\n Complete all repetitions for one leg before switching to the other.\n
Landmine twist                                        | Compound  | Abdominals  | Other         | Strength              | Intermediate | 9.5 | Russian twist                                 | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Position a bar into a landmine or securely anchor it in a corner. Load the bar to an appropriate weight.\n Raise the bar from the floor, taking it to shoulder height with both hands with your arms extended in front of you. Adopt a wide stance. This will be your starting position.\n Perform the movement by rotating the trunk and hips as you swing the weight all the way down to one side. Keep your arms extended throughout the exercise.\n Reverse the motion to swing the weight all the way to the opposite side.\n Continue alternating the movement until the set is complete.\n
Weighted pull-up                                      | Compound  | Lats        | Other         | Strength              | Intermediate | 9.5 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Attach a weight to a dip belt and secure it around your waist. Grab the pull-up bar with the palms of your hands facing forward. For a medium grip, your hands should be spaced at shoulder width. Both arms should be extended in front of you holding the bar at the chosen grip.\n You'll want to bring your torso back about 30 degrees while creating a curvature in your lower back and sticking your chest out. This will be your starting position.\n Now, exhale and pull your torso up until your head is above your hands. Concentrate on squeezing your shoulder blades back and down as you reach the top contracted position.\n After a brief moment at the top contracted position, inhale and slowly lower your torso back to the starting position with your arms extended and your lats fully stretched.\n
T-Bar Row with Handle                                 | Compound  | Middle Back | Other         | Strength              | Intermediate | 9.5 | Seated Cable Rows                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Position a bar into a landmine or in a corner to keep it from moving. Load an appropriate weight onto your end.\n Stand over the bar, and position a Double D row handle around the bar next to the collar. Using your hips and legs, rise to a standing position.\n Assume a wide stance with your hips back and your chest up. Your arms should be extended. This will be your starting position.\n Pull the weight to your upper abdomen by retracting the shoulder blades and flexing the elbows. Do not jerk the weight or cheat during the movement.\n After a brief pause, return to the starting position.\n
Palms-down wrist curl over bench                      | Isolation | Forearms    | Barbell       | Strength              | Intermediate | 9.5 | Palms-Down Dumbbell Wrist Curl Over A Bench   | Seated palms-down wrist curl                          | Seated One-Arm Dumbbell Palms-Down Wrist Curl       | -                                       | -                             | -                        | -                        | -                   | -                     | Start out by placing a barbell on one side of a flat bench.\n Kneel down on both of your knees so that your body is facing the flat bench.\n Use your arms to grab the barbell with a pronated grip (palms down) and bring them up so that your forearms are resting against the flat bench. Your wrists should be hanging over the edge.\n Start out by curling your wrist upwards and exhaling.\n Slowly lower your wrists back down to the starting position while inhaling.\n Your forearms should be stationary as your wrist is the only movement needed to perform this exercise.\n Repeat for the recommended amount of repetitions.\n
Atlas Stones                                          | Compound  | Lower Back  | Other         | Strongman             | Intermediate | 9.5 | Atlas Stone Trainer                           | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Begin with the atlas stone between your feet. Bend at the hips to wrap your arms vertically around the Atlas Stone, attempting to get your fingers underneath the stone. Many stones will have a small flat portion on the bottom, which will make the stone easier to hold.\n Pulling the stone into your torso, drive through the back half of your feet to pull the stone from the ground.\n As the stone passes the knees, lap it by sitting backward, pulling the stone on top of your thighs.\n Sit low, getting the stone high onto your chest as you change your grip to reach over the stone. Stand, driving through with your hips. Close distance to the loading platform, and lean back, extending the hips to get the stone as high as possible.\n
Dumbbell front raise to lateral raise                 | Isolation | Shoulders   | Dumbbell      | Strength              | Intermediate | 9.5 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | In a standing position, hold a pair of dumbbells at your side. This will be your starting position.\n Keeping your elbows slightly bent, raise the weights directly in front of you to shoulder height, avoiding any swinging or cheating.\n At the top of the exercise move the weights out in front of you, keeping your arms extended.\n Lower the weights with a controlled motion.\n On the next repetition, raise the weights in front of you to shoulder height before moving the weights laterally to your sides.\n Lower the weights to the starting position.\n
Clean from Blocks                                     | Compound  | Quadriceps  | Barbell       | Olympic Weightlifting | Beginner     | 9.5 | Power clean                                   | Hang Clean                                            | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | With a barbell on boxes or stands of the desired height, take an overhand or hook grip just outside the legs. Lower your hips with the weight focused on the heels, back straight, head facing forward, chest up, with your shoulders just in front of the bar. This will be your starting position.\n Begin the first pull by driving through the heels, extending your knees. Your back angle should stay the same, and your arms should remain straight with the elbows pointed out. Next comes the second pull, the main source of acceleration for the clean. As the bar approaches the mid-thigh position, begin extending through the hips. In a jumping motion, accelerate by extending the hips, knees, and ankles, using speed to move the bar upward. There should be no need to actively pull through the arms to accelerate the weight. At the end of the second pull, the body should be fully extended, leaning slightly back, with the arms still extended.3. As full extension is achieved, transition into the receiving position by aggressively shrugging and flexing the arms with the elbows up and out. Aggressively pull yourself down, rotating your elbows under the bar as you do so. Receive the bar in a front squat position, the depth of which is dependent upon the height of the bar at the end of the third pull. The bar should be racked onto the protracted shoulders, lightly touching the throat with the hands relaxed. Continue to descend to the bottom squat position, which will help in the recovery.\n Immediately recover by driving through the heels, keeping the torso upright and elbows up. Continue until you have risen to a standing position. Return the weight to the boxes for the next rep.\n
Incline Hammer Curls                                  | Isolation | Biceps      | Dumbbell      | Strength              | Beginner     | 9.5 | -                                             | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Seat yourself on an incline bench with a dumbbell in each hand. You should pressed firmly against he back with your feet together. Allow the dumbbells to hang straight down at your side, holding them with a neutral grip. This will be your starting position.\n Initiate the movement by flexing at the elbow, attempting to keep the upper arm stationary.\n Continue to the top of the movement and pause, then slowly return to the start position.\n
Straight-bar wrist roll-up                            | Isolation | Forearms    | Unknown       | Strength              | Intermediate | 9.5 | Plate Pinch                                   | -                                                     | -                                                   | -                                       | -                             | -                        | -                        | -                   | -                     | Hold a barbell with both hands and your palms facing down; hands spaced about shoulder width. This will be your starting position.\n Alternating between each of your hands, perform the movement by extending the wrist as though you were rolling up a newspaper. Continue alternating back and forth until failure.\n Reverse the motion by flexing the wrist, rolling the opposite direction. Continue the alternating motion until failure.\n
